,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
cols,cep_prefixo,coordenadas,data,datetime,frete,hora,prazo,preco,product_category_name,product_description_lenght,product_height_cm,product_id,product_id_off,product_length_cm,product_name_lenght,product_photos_qty,product_weight_g,product_width_cm,purchase_id,visit_id
index,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.947635014625098,1.947635014625098,0.0,0.0,82.42134550902476,0.0,1.947635014625098,1.947635014625098,0.0,0.0,82.42134550902476,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9598441714114474,1.9598441714114474,0.017980221756068324,0.0,84.4471081810009,0.017980221756068324,1.9598441714114474,1.9598441714114474,0.017980221756068324,0.017980221756068324,84.4471081810009,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999021458027539,1.999021458027539,0.0069895855175788075,0.0,82.70776542951003,0.0069895855175788075,1.999021458027539,1.999021458027539,0.0069895855175788075,0.0069895855175788075,82.70776542951003,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7981201471189212,1.7981201471189212,0.006811061163329247,0.0,83.61258684102984,0.006811061163329247,1.7981201471189212,1.7981201471189212,0.006811061163329247,0.006811061163329247,83.61258684102984,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.850144446493331,1.850144446493331,0.012293318581351036,0.0,83.20732681787449,0.012293318581351036,1.850144446493331,1.850144446493331,0.012293318581351036,0.012293318581351036,83.20732681787449,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9606681672787583,1.9606681672787583,0.017770406349958537,0.0,84.02440469138728,0.017770406349958537,1.9606681672787583,1.9606681672787583,0.017770406349958537,0.017770406349958537,84.02440469138728,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8644721615018642,1.8644721615018642,0.006429214350006429,0.0,82.13321332133214,0.006429214350006429,1.8644721615018642,1.8644721615018642,0.006429214350006429,0.006429214350006429,82.13321332133214,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8370292612518042,1.8370292612518042,0.0,0.0,81.81341031360714,0.0,1.8370292612518042,1.8370292612518042,0.0,0.0,81.81341031360714,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7385534173855341,1.7385534173855341,0.0,0.0,82.75381552753815,0.0,1.7385534173855341,1.7385534173855341,0.0,0.0,82.75381552753815,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7528031962881816,1.7528031962881816,0.01288825879623663,0.0,84.77896636164454,0.01288825879623663,1.7528031962881816,1.7528031962881816,0.01288825879623663,0.01288825879623663,84.77896636164454,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8200384430562229,1.8200384430562229,0.0,0.0,83.00696780394041,0.0,1.8200384430562229,1.8200384430562229,0.0,0.0,83.00696780394041,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0207287660517568,2.0207287660517568,0.006518479890489538,0.0,84.08187210742454,0.006518479890489538,2.0207287660517568,2.0207287660517568,0.006518479890489538,0.006518479890489538,84.08187210742454,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7054698457223003,1.7054698457223003,0.011220196353436185,0.0,87.5960729312763,0.011220196353436185,1.7054698457223003,1.7054698457223003,0.011220196353436185,0.011220196353436185,87.5960729312763,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7465938419062483,1.7465938419062483,0.006002040693835904,0.0,85.3730268291219,0.006002040693835904,1.7465938419062483,1.7465938419062483,0.006002040693835904,0.006002040693835904,85.3730268291219,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9573400250941029,1.9573400250941029,0.006273525721455457,0.0,81.80677540777917,0.006273525721455457,1.9573400250941029,1.9573400250941029,0.006273525721455457,0.006273525721455457,81.80677540777917,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7490750084090143,1.7490750084090143,0.0,0.0,81.45307769929364,0.0,1.7490750084090143,1.7490750084090143,0.0,0.0,81.45307769929364,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8458731049971926,1.8458731049971926,0.014037057832678272,0.0,83.09236384053902,0.014037057832678272,1.8458731049971926,1.8458731049971926,0.014037057832678272,0.014037057832678272,83.09236384053902,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9666182873730045,1.9666182873730045,0.007256894049346879,0.0,84.35413642960813,0.007256894049346879,1.9666182873730045,1.9666182873730045,0.007256894049346879,0.007256894049346879,84.35413642960813,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7823639774859286,1.7823639774859286,0.006700616456714018,0.0,84.9437148217636,0.006700616456714018,1.7823639774859286,1.7823639774859286,0.006700616456714018,0.006700616456714018,84.9437148217636,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7623929223423676,1.7623929223423676,0.007021485746383936,0.0,83.25375649487432,0.007021485746383936,1.7623929223423676,1.7623929223423676,0.007021485746383936,0.007021485746383936,83.25375649487432,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.847635157114046,1.847635157114046,0.006505757595471992,0.0,83.66404267776983,0.006505757595471992,1.847635157114046,1.847635157114046,0.006505757595471992,0.006505757595471992,83.66404267776983,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6229212582648769,1.6229212582648769,0.006678688305616777,0.0,84.46537100113538,0.006678688305616777,1.6229212582648769,1.6229212582648769,0.006678688305616777,0.006678688305616777,84.46537100113538,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9782569951880233,1.9782569951880233,0.005940711697261332,0.0,82.71846967266679,0.005940711697261332,1.9782569951880233,1.9782569951880233,0.005940711697261332,0.005940711697261332,82.71846967266679,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.837037037037037,1.837037037037037,0.014814814814814815,0.0,83.55555555555556,0.014814814814814815,1.837037037037037,1.837037037037037,0.014814814814814815,0.014814814814814815,83.55555555555556,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.703481842006739,1.703481842006739,0.006239860227130913,0.0,84.19443404467741,0.006239860227130913,1.703481842006739,1.703481842006739,0.006239860227130913,0.006239860227130913,84.19443404467741,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6624478347130056,1.6624478347130056,0.006841349114045291,0.0,84.2443729903537,0.006841349114045291,1.6624478347130056,1.6624478347130056,0.006841349114045291,0.006841349114045291,84.2443729903537,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8569707279041745,1.8569707279041745,0.0,0.0,83.95350485505706,0.0,1.8569707279041745,1.8569707279041745,0.0,0.0,83.95350485505706,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1282220753469927,2.1282220753469927,0.0,0.0,86.14672835426306,0.0,2.1282220753469927,2.1282220753469927,0.0,0.0,86.14672835426306,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9699457002146734,1.9699457002146734,0.0,0.0,83.8489708296502,0.0,1.9699457002146734,1.9699457002146734,0.0,0.0,83.8489708296502,0.0
